epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1519.26,1.90576,2.8164,1.71843,0.49949,0.36702,0.37033,0.15624,1.99853,2.36635,1.79439,0.00055534,0.00055534,0.00055534
2,2831.62,1.95542,2.28832,1.79112,0.45463,0.4251,0.38717,0.17206,1.93027,2.01364,1.75823,0.00100102,0.00100102,0.00100102
3,3964.23,1.91478,2.06407,1.75074,0.49032,0.47243,0.44126,0.21253,1.8382,1.94754,1.71772,0.00133667,0.00133667,0.00133667
4,5078.6,1.83833,1.88733,1.68828,0.60711,0.53407,0.56039,0.26574,1.77073,1.6645,1.62488,0.0011719,0.0011719,0.0011719
5,6210.85,1.74502,1.69754,1.61998,0.67139,0.58249,0.62928,0.31788,1.68474,1.50301,1.56761,0.00100687,0.00100687,0.00100687
6,7335.67,1.67098,1.54762,1.55252,0.74281,0.64954,0.71291,0.35424,1.67166,1.37808,1.53883,0.000841835,0.000841835,0.000841835
7,8452.84,1.61421,1.42385,1.51013,0.79175,0.67319,0.75945,0.40143,1.60972,1.24541,1.48486,0.000676802,0.000676802,0.000676802
8,9590.43,1.54558,1.30935,1.46639,0.8002,0.70587,0.78672,0.41893,1.58229,1.15083,1.45985,0.000511769,0.000511769,0.000511769
9,10717.6,1.49865,1.20445,1.43251,0.81608,0.73212,0.81507,0.44638,1.52132,1.10213,1.43686,0.000346736,0.000346736,0.000346736
10,11838.3,1.45198,1.13181,1.392,0.84173,0.74331,0.83328,0.46934,1.48185,1.04033,1.39384,0.000181703,0.000181703,0.000181703
